#MatchID,NumFilters,RAh,RAm,RAs,Decd,Decm,Decs,W3_F438W,W3_F438W_Sigma,W3_F555W,W3_F555W_Sigma,W3_F814W,W3_F814W_Sigma
2184277,3,13,37,01.163,-29,52,03.10,23.503,0.000,,,,
1921784,2,13,37,01.144,-29,51,47.83,23.596,0.000,,,,
1929127,3,13,37,00.472,-29,52,00.67,20.333,0.000,,,,
1924705,3,13,37,01.487,-29,51,51.45,25.255,0.000,24.365,0.000,23.081,0.000
1920552,5,13,37,00.458,-29,51,50.56,17.925,0.000,25.200,0.000,22.494,0.000
1930442,4,13,37,01.407,-29,51,50.02,24.881,0.000,23.845,0.000,23.023,0.000
1920366,2,13,37,00.377,-29,51,52.37,23.443,0.000,,,,
1927438,2,13,37,00.381,-29,51,58.84,,,,,,
1938857,3,13,37,00.959,-29,52,03.62,19.624,0.000,,,,
1921156,2,13,37,00.384,-29,51,52.09,23.175,0.000,,,,
1939068,7,13,37,01.567,-29,51,56.75,23.344,0.000,22.840,0.000,22.632,0.000
1936052,3,13,37,00.722,-29,52,03.08,21.233,0.000,,,,
2184087,2,13,37,01.571,-29,51,54.64,23.357,0.000,,,,
1931791,2,13,37,01.390,-29,51,49.73,,,,,,
1930048,3,13,37,01.308,-29,51,48.84,,,25.464,0.000,23.097,0.000
1928439,7,13,37,00.537,-29,52,01.63,16.965,0.000,17.045,0.000,,
1936008,2,13,37,01.538,-29,51,52.70,25.084,0.000,,,,
1928194,4,13,37,00.424,-29,51,59.96,17.272,0.000,,,,
1928325,2,13,37,00.401,-29,51,59.48,18.864,0.000,,,,
2173852,2,13,37,00.778,-29,52,03.37,20.543,0.000,,,,
1935513,2,13,37,00.835,-29,52,03.55,,,,,,
1937320,2,13,37,00.680,-29,52,02.89,,,,,,
2170214,2,13,37,00.599,-29,52,02.30,,,,,,
1928015,15,13,37,00.414,-29,51,59.79,17.411,0.464,17.691,0.252,17.829,0.000
1925154,3,13,37,00.472,-29,52,00.88,20.009,0.000,,,,
1923712,2,13,37,00.341,-29,51,53.34,23.325,0.000,,,,
